County Code,County Name,Surname,Other Names,Party Code,Political Party Name,Abbrv
46,Nyamira,Omanwa,Josephine Moraa,15,"United DemocraticAlliance",UDA
46,Nyamira,Ombogo,Jassy Moraa,1,"National RainbowCoalition-Kenya","NARC-KENYA"
46,Nyamira,Onguso,Judith Moraa,84,"National ReconstructionAlliance",NRA
46,Nyamira,Onsongo,Nancy Nyaboke,33,"Kenya African NationalUnion",KANU
47,Nairobi City,Gitau,Monica Wamaitha,80,Usawa Kwa Wote Party,USAWA
47,Nairobi City,John,Delvine Moraa,Ind,Independent,IND
47,Nairobi City,Mudachi,Mary Musuki,95,"Green Thinking ActionParty",GTAP
47,Nairobi City,Ntwiga,Brendah Kangai,Ind,Independent,IND
47,Nairobi City,Omanga,Millicent Nyaboke,15,"United DemocraticAlliance",UDA
47,Nairobi City,Omolo,Teresia Antony,44,"Party Of DemocraticUnity",PDU
47,Nairobi City,Passaris,Esther Muthoni,21,"Orange DemocraticMovement",ODM
